text,label,label_name,clean_text
Where can I get a free email extractor software to download? ,4,Computers & Internet,get free email extractor software download
How bad will Ohio State beat Michigan? Ohio State 58\nMichigan -0,5,Sports,bad ohio state beat michigan ohio state nmichigan
"If like ain't just a joke, then why are we laughing??? ",7,Entertainment & Music,like aint joke laughing
"Can you show me an example of an hypothesis? i already know the definition, but can you explain it all or atleast show me an example",1,Science & Mathematics,show example hypothesis already know definition explain atleast show example
"What does a prophet do? A Prophet, (OT) comes along and brings direct messages from God to the people, either of joy or doom.  \nSo when I asked this question http://answers.yahoo.com/question/index;_ylt=AlVaYHB1viz2gJ1hlw0FKmLsy6IX?qid=20061130083845AAXViFk\neveryone pretty much said ""NO"" \nSo if you are not a Prophet of God, stop telling people they are going to hell, stop telling people they aren't good enough for God, stop telling people they need to be cast out.  \n\nOff soap box",0,Society & Culture,prophet prophet comes along brings direct messages god people either joy doom nso asked question pretty much said nso prophet god stop telling people going hell stop telling people arent good enough god stop telling people need cast nnoff soap box
I dreamed on night i was on the boat to heaven? by some chance i brought my dice along and then i said some fade ma but the passangers knew right from wrong.,7,Entertainment & Music,dreamed night boat heaven chance brought dice along said fade passangers knew right wrong
what is infazima and is it curable.Excuse my spelling? ,2,Health,infazima curableexcuse spelling
what do you do if you like a guy and you think he likes you wont tell you who he likes????? ,8,Family & Relationships,like guy think likes wont tell likes
"Do you think the Red Sox will win the AL East, Wild Card, Penant, or WS next season? ",5,Sports,think red sox win east wild card penant next season
"Why was my personal add rejected? Was the title wrong cause I implied I have a Mother on Mother's Day?!?!?!?!? Was it wrong to be specific because my eye color, politics, and TV viewing choices don't fit into the crappy pat answers I must choose from? I'm creative, I was attempting to show that! What could be more personal than using your own first name. There are three women on this service I want to avoid, a former roomate, an ex-girlfriend, and some woman I met on another on-line dating service. The name would've been a dead give away if I was dumb enough to use my own name.\n    I'd like to keep the title, it's witty, and my first choice had too many characters. I used the same title on AOL, and they didn't reject it. You guys are a bunch of jingoistic jack-booted black-shirted Fascist anti-cupids!\n    What exactly needs changing in the main copy? I was ready to join your lame-ass org., but match.com has more members, and costs the same.",8,Family & Relationships,personal add rejected title wrong cause implied mother mothers day wrong specific eye color politics viewing choices dont fit crappy pat answers must choose creative attempting show could personal using first name three women service want avoid former roomate exgirlfriend woman met another online dating service name wouldve dead give away dumb enough use namen like keep title witty first choice many characters used title aol didnt reject guys bunch jingoistic jackbooted blackshirted fascist anticupidsn exactly needs changing main copy ready join lameass org matchcom members costs
What are ten best antivirus ? ,4,Computers & Internet,ten best antivirus
Are there any supplements or non prescription drugs that can help my breathing..I have Asthma.? ,2,Health,supplements non prescription drugs help breathingi asthma
"Does this make me a snob? When I'm voting for a best answer, or looking to give a thumbs up to resolved questions, I'm kind of picky.  If, in the answer, the person seems too lazy to type out the answers (using u instead of you, r instead of are, refusing to use punctuation, that kind of thing), if they're trying to hard to sound like they have no clue what English is (dawg, iz, the I'm so cool I have to write like an idiot stuff), or if they do the crazy thing with caps on, caps off, caps on, caps off thing, I refuse to vote for them!  Is there anyone else that does that, or am I just a snob or mean?",0,Society & Culture,make snob voting best answer looking give thumbs resolved questions kind picky answer person seems lazy type answers using instead instead refusing use punctuation kind thing theyre trying hard sound like clue english dawg cool write like idiot stuff crazy thing caps caps caps caps thing refuse vote anyone else snob mean
Why is it hard for men to approach women that they are attractive too? ,8,Family & Relationships,hard men approach women attractive
can you change catergories on questions you have already asked? I asked a question but put it in the wrong cat. if it were in the right one I may get more answers.,4,Computers & Internet,change catergories questions already asked asked question put wrong cat right one may get answers
What internet provider is the fastest? Where online can i compare internet service providers?,4,Computers & Internet,internet provider fastest online compare internet service providers
"What should I study to be a doctor? Right now I am in grade 10- high school, but before it is too late I want to know what kind of courses should I take next year in order to be a doctor? I need the college courses for the bachelor degree. Please help.",3,Education & Reference,study doctor right grade high school late want know kind courses take next year order doctor need college courses bachelor degree please help
If you could bring one fictional character to life - who would you choose? ,6,Business & Finance,could bring one fictional character life would choose
Are payments made to the IRS tax deductible for the following year? I am paying the IRS 300-400 a month this year. Will I be able to claim this next year when I itemize?,6,Business & Finance,payments made irs tax deductible following year paying irs month year able claim next year itemize
what's that new tv show on FX called when the white girl turns black by makeup??? i wanna c it but idk when it's on!! ne 1 know about that show??? we can discuss it/comments too if u want!,7,Entertainment & Music,whats new show called white girl turns black makeup wan idk know show discuss itcomments want
what sould i do???????? i have a boyfreind but hen it hink that he might be cheating on me with my best freind becasue he says that he wants to sleep with her all the time and the other thing that is that he wants me to see him but then when i get up there ten minutes laterhe falls asleep and or leaves me there at his freinds house what should i do,8,Family & Relationships,sould boyfreind hen hink might cheating best freind becasue says wants sleep time thing wants see get ten minutes laterhe falls asleep leaves freinds house
i need to find a way to see what anyone has been doing on my pc recently how do i go about it? just want to see what my step daughter has been up to,4,Computers & Internet,need find way see anyone recently want see step daughter
what are the four european mediterranean Countries? ,3,Education & Reference,four european mediterranean countries
who like movie sholay? ,7,Entertainment & Music,like movie sholay
Choose one: rich and terminally ill or healthy and work for a living? But not able to use your riches to buy a cure so basically have about 6 months to a year to live.,0,Society & Culture,choose one rich terminally ill healthy work living able use riches buy cure basically months year live
"If a person died, where would  his soul go? ",3,Education & Reference,person died would soul
how old do u have to be to do the kegal excerzise? does 15 sound goood,6,Business & Finance,old kegal excerzise sound goood
"What do you enjoy listening to while you are drinking? Me, it would have to be either, ""Guns n' Roses"" ""Civil War,"" or ""Metallica's"" ""My Friend of Misery."" How about you?",7,Entertainment & Music,enjoy listening drinking would either guns roses civil war metallicas friend misery
What is the most efficent and pratical way to dry alcohol? Using lime or salt seems to be realtively cheap.,1,Science & Mathematics,efficent pratical way dry alcohol using lime salt seems realtively cheap
In the United states we have The Bill of Rights.  Is there something similar in the European Union? The Bill of Rights guarantees us certain rights such as freedom of speech and the right to keep and bear arms.,9,Politics & Government,united states bill rights something similar european union bill rights guarantees certain rights freedom speech right keep bear arms
If your colour blind would glass look red? Me and my best mate was talking the other day about colour blind ppl..and as they see green as red and red as green dose that mean the grass is red??? not taking the piss just wanted to know,2,Health,colour blind would glass look red best mate talking day colour blind ppland see green red red green dose mean grass red taking piss wanted know
Don't you wish those poor space aliens will finally get some Dairy? They seem like such nice guys.,7,Entertainment & Music,dont wish poor space aliens finally get dairy seem like nice guys
How long it talkes to learen one languge? ,3,Education & Reference,long talkes learen one languge
Will the atkins diet help you to lose weight if you have an underactive thyroid? I recently found out my thyroid is underactive and that is why I have struggled with my weight for so long.  Does anyone know if the atkins diet will work with and underactive thyroid? I am already on meds for my thyroid and it seems to be normal at times when they check it and others off a little.  I have only had blood work done twice though.,2,Health,atkins diet help lose weight underactive thyroid recently found thyroid underactive struggled weight long anyone know atkins diet work underactive thyroid already meds thyroid seems normal times check others little blood work done twice though
the best expalanation abiut the newton ring? ,1,Science & Mathematics,best expalanation abiut newton ring
i am loving a girl of 13yrs & i am of also 13 yrs. I didnot tell her i love u. When & how should i tell her ? she is very beautiful. My father & mother are doctors. my mother \nis a friend to my lover mother. we both study in same school.,8,Family & Relationships,loving girl yrs also yrs didnot tell love tell beautiful father mother doctors mother nis friend lover mother study school
i think my sister is gay  how do i find out the truth? ,2,Health,think sister gay find truth
how can i? ,8,Family & Relationships,
how many different telephone numbers are possible within the 537 exchange? ,1,Science & Mathematics,many different telephone numbers possible within exchange
"Have you heard of severe adverse drug reaction to statin drugs, like Lipitor where muscle wasting happens? ",2,Health,heard severe adverse drug reaction statin drugs like lipitor muscle wasting happens
"what do over 500,000 have in america? ",9,Politics & Government,america
how to check my boyfriend's marital status? I suspect he's lying.? ,8,Family & Relationships,check boyfriends marital status suspect hes lying
Where is the origin of Henry Therry ? Henry is the Captain of Arsenal FC and a player in French national team,5,Sports,origin henry therry henry captain arsenal player french national team
how has computer technology influence the development of personal and home secuity products? how have these products improved over the years,3,Education & Reference,computer technology influence development personal home secuity products products improved years
bush cut money to fix new orleans levees? when was money cut to fix leeves?,9,Politics & Government,bush cut money fix new orleans levees money cut fix leeves
whats a heamotoligist? i think its something to do with blood my mums just rang and asked me to post this question,2,Health,whats heamotoligist think something blood mums rang asked post question
how to make a girl like you? ,8,Family & Relationships,make girl like
Riddle: How could you cut up a round birthday cake using only 3 slices with a knife to achieve eight pieces ? ,7,Entertainment & Music,riddle could cut round birthday cake using slices knife achieve eight pieces
Should two referees be better? It has been suggested before but with the current speed of the game and the number of incidents happening as well as being able to monitor the complete pitch would it be better to have two referees on the pitch?,5,Sports,two referees better suggested current speed game number incidents happening well able monitor complete pitch would better two referees pitch
"This is a SERIOUS Question for The Men? I have been engaged to my fiance for about 4 months and we've been together seriously for 3 years. We have a 1 year old together and we just bought our first home together and so many other things we've achieved! In short this relationship couldn't get any better! Well, with that said I cheated on him a week ago with a guy I met a club. This guy knows that I have a fiance and our agreement was to just be friends because we talked all night about people and a bunch of random things, for a while I thought he was gay because we had so much in common. Anyway we kept in touch for a week and then we had lunch one afternoon and one thing led to another and we slept together. I really regret it and I need to tell him, but I don't know how. How would you want to be told or would you want to know??? He has no idea from what I can see and I feel bad because I've been staying at my office really late just so I can have a excuse to not sleep with him. I feel so guilty! Only serious answers please!",8,Family & Relationships,serious question men engaged fiance months weve together seriously years year old together bought first home together many things weve achieved short relationship couldnt get better well said cheated week ago guy met club guy knows fiance agreement friends talked night people bunch random things thought gay much common anyway kept touch week lunch one afternoon one thing led another slept together really regret need tell dont know would want told would want know idea see feel bad ive staying office really late excuse sleep feel guilty serious answers please
What are the odds of becoming a Major Leauge baseball player? ,5,Sports,odds becoming major leauge baseball player
"In the preamble it states ""provide for the common defence"" how can we defend america ? ",9,Politics & Government,preamble states provide common defence defend america
what does conscripted mean? ,3,Education & Reference,conscripted mean
"How do I know if I need more memory for my laptop? My computer is running really slow, and I think it might need more memory - but I am not sure.",4,Computers & Internet,know need memory laptop computer running really slow think might need memory sure
"My fiance' seems like he is not into me anymore? What are some signs he isn't in to me anymore? I have seemed to have been pushing him away, but I am so stressed and I moved  away from home and I live down here where I don't know anyone... I don't know what to do I love him but he just seems like he is drifting away...",8,Family & Relationships,fiance seems like anymore signs isnt anymore seemed pushing away stressed moved away home live dont know anyone dont know love seems like drifting away
"Anyone have any good links to design a Flash script, I want it to be very, very simple for me to design.? I do not have any software to do it with, and I don't want to invest a lot of money in software.  Just need something that's simple.",4,Computers & Internet,anyone good links design flash script want simple design software dont want invest lot money software need something thats simple
what are the the top hunted species of sheep? ,5,Sports,top hunted species sheep
If a female has blue eyes and she mate with a male with gree eyes why the kid have blue eyes? ,6,Business & Finance,female blue eyes mate male gree eyes kid blue eyes
"What is the EXACT rule for OFFSIDE? I am really curious. \nFrom Korea vs Swiss today, from what i read and heard , that Swiss' second goal was OFFSIDE.\nBut the referee said it wasnt because it touched the opponents foot first.  \nIf this is true, then wouldnt it be meaning less to have an Offside rule? \nIt's just my opinion so dont take it offensive, But i want to know what others think.",5,Sports,exact rule offside really curious nfrom korea swiss today read heard swiss second goal offsidenbut referee said wasnt touched opponents foot first nif true wouldnt meaning less offside rule nits opinion dont take offensive want know others think
"Marriage isn't what it used to be, has it finally become a joke? So many people against same sex marriages, but serioulsy with 1/2 the people married getting divorced and of that 1/2 that stays married are swingers or cheat on their spouses, what's really marriage?",8,Family & Relationships,marriage isnt used finally become joke many people sex marriages serioulsy people married getting divorced stays married swingers cheat spouses whats really marriage
Why do old people have big ears? ,1,Science & Mathematics,old people big ears
"I am positive india is the best country in the world. don't you think? it has everything:different people, rich and poor and the ones in between What doesn't it have.",0,Society & Culture,positive india best country world dont think everythingdifferent people rich poor ones doesnt
Which team will win the FIFA World Cup this year in Germany? ,5,Sports,team win fifa world cup year germany
"Should movies just entertain or leave a message behind?? Movies such as ""Rang De Basanti""(Hindi), ""Titanic"", ""Saving Private Ryan"" etc. are those movies which inspite of entertaining in differnet manner also left us a good message for us. Is it that important? Please feel free to give me your thoughts..",7,Entertainment & Music,movies entertain leave message behind movies rang basantihindi titanic saving private ryan etc movies inspite entertaining differnet manner also left good message important please feel free give thoughts
"Which is more likely...that Lee Harvey Oswald acted alone, or that it was a conspiracy? I have never been totally sold on the official explanation. Some science behind the history would be very helpful.",0,Society & Culture,likelythat lee harvey oswald acted alone conspiracy never totally sold official explanation science behind history would helpful
ghghghghghgh? gjgjgjgjgjjgj,6,Business & Finance,ghghghghghgh gjgjgjgjgjjgj
How to handle an effective meeting? ,3,Education & Reference,handle effective meeting
"plzzzzzzzzzzzzzzzz help plzzzzzzz...........? plz i need this now before i go plzz..i have 30 mint to go, i need a recommendation letter saying good thing for a student that is going to a diracting school(college)he is a lot into directing plz just 5 or 6 lined plzz..thanks aloooooot",6,Business & Finance,plzzzzzzzzzzzzzzzz help plzzzzzzz plz need plzzi mint need recommendation letter saying good thing student going diracting schoolcollegehe lot directing plz lined plzzthanks aloooooot
Where's all the smiles??? Over the last few days i've been doing my own wee experiment with smiling. I walked down the street and almost everyone i passed i made sure i gave them a smile. The number of people that actually smiled back was pitiful!! Why is this? Why are people so suspisious these days?? What happened to all the happy people????,8,Family & Relationships,wheres smiles last days ive wee experiment smiling walked street almost everyone passed made sure gave smile number people actually smiled back pitiful people suspisious days happened happy people
Arsenal or Barcellona for the CL? My Predictions 1-2 Barcellona over Arsenal,5,Sports,arsenal barcellona predictions barcellona arsenal
I like a girl and she likes me but she already has a boyfriend how do i break it to him? ,8,Family & Relationships,like girl likes already boyfriend break
Are the engagment rings at Blue nile a good deal and worth it? Should I buy the ring at Blue Nile?,8,Family & Relationships,engagment rings blue nile good deal worth buy ring blue nile
"Which government to do prefer and why: Communism, Conservitive, Liberal, or Nationalist? I'm taking a poll.",9,Politics & Government,government prefer communism conservitive liberal nationalist taking poll
difference between regular policae cars and police interceptors? ,9,Politics & Government,difference regular policae cars police interceptors
how to delete search history? ,4,Computers & Internet,delete search history
30 second mystery!!!? George attends a party where he quicly gulps down a large iced tea before unexpectedly having to rush home. He suffers no ill effects but other people at the party who drink the iced tea become violently ill. Some even die.\n\nThe Mystery\nWhy did the other people become ill and why didn't George?,7,Entertainment & Music,second mystery george attends party quicly gulps large iced tea unexpectedly rush home suffers ill effects people party drink iced tea become violently ill even diennthe mysterynwhy people become ill didnt george
Is dubai a safe place to go on holiday in 2006? ,9,Politics & Government,dubai safe place holiday
is baseball still America's pastime? ,5,Sports,baseball still americas pastime
"what do you do when shingles pop? i have had shingles for about 2 weeks now. as some may know shingles is where you come out in painful blisters on your body. well, i have a large one on the side of my abdomin. and it popped leaving fluid on my shirt. i dont know if thats just pussing or if its normal for shingles to do that. is it still contagious? do i just leave it or do i drain it? what do i do?! please help!!",2,Health,shingles pop shingles weeks may know shingles come painful blisters body well large one side abdomin popped leaving fluid shirt dont know thats pussing normal shingles still contagious leave drain please help
Who has seen Cirque du Soleil? Where? Which show? What did you think of it?  Does Cirque du Soleil accomplish their mission statement?,7,Entertainment & Music,seen cirque soleil show think cirque soleil accomplish mission statement
Question about my sexuality? Ok well i am scared that  i might be a lesbian.  Now i dont think other girls are sexy or anything.  I mean like i notice there hair and such but thats it.  But it makes me really wet and horny looking at lesbians kissing and making out and stuff.\n\nWhat is wrong with me?,0,Society & Culture,question sexuality well scared might lesbian dont think girls sexy anything mean like notice hair thats makes really wet horny looking lesbians kissing making stuffnnwhat wrong
"What was the ancient Greek dress called? UM...just wondered. i no theres a toga, but is there anythin else?",3,Education & Reference,ancient greek dress called umjust wondered theres toga anythin else
I am interested in going to watch the cricket world cup in West Indies. Can you suggest how to plan.? ,5,Sports,interested going watch cricket world cup west indies suggest plan
"If someone uses my webcam, is there a way to recover the video that was sent? ",4,Computers & Internet,someone uses webcam way recover video sent
Becoming an angel investor? What is the least amount of money that it would take to have a venture capital firm invest your money for you?  Is it best to spread it out between a few firms to diversify?  What percentage annual roi could I expect?  What else would there be to know?,6,Business & Finance,becoming angel investor least amount money would take venture capital firm invest money best spread firms diversify percentage annual roi could expect else would know
"athletes heart- morphological changes? Is the prolonged conduction a morphological rearrangement of the heart tissue or is it considered  a normal adaptation which then leads to uneven depolarisation of the tissue, and how this can result in pauses of the conducting system",2,Health,athletes heart morphological changes prolonged conduction morphological rearrangement heart tissue considered normal adaptation leads uneven depolarisation tissue result pauses conducting system
"How do u stop urself thinking about a girl all the time? I recently meet this girl, and since i meet her she has been all i can think about. I think i have feelings for her, but i cannot act on these, in anyway. The girl in question lives with 2 of my mates, but my mates do not particularly like her, and if i acted on my feeling for her this would make things awkward with my mates. These are good mates, and although i like the girl, it is not worth losing my mates over. So can anyone help me get the girl out of my head and move on in my life?? Please any help greatly appreaciated!!",8,Family & Relationships,stop urself thinking girl time recently meet girl since meet think think feelings act anyway girl question lives mates mates particularly like acted feeling would make things awkward mates good mates although like girl worth losing mates anyone help get girl head move life please help greatly appreaciated
how can we develope sunday schools and drive them to listen? ,0,Society & Culture,develope sunday schools drive listen
How can i link my flash documents with each other using buttons ? I want to link the chapters of a book through a index that i have created in the first document. I have created buttons for each chapter. How can I link them up. I mean what is the simple code?,4,Computers & Internet,link flash documents using buttons want link chapters book index created first document created buttons chapter link mean simple code
what implicit structure collapsing network is both inextricably linked and exonerated from stress free strings ,0,Society & Culture,implicit structure collapsing network inextricably linked exonerated stress free strings
Is it bad to have anal sex if you have hemorroids? ,6,Business & Finance,bad anal sex hemorroids
What are the health advantages of a cucumber in a diet does it have any nutrients or is it just water? ,2,Health,health advantages cucumber diet nutrients water
"PC problems someone help me, please!!!? I think I have a virus on my pc. Is there any kind of free anti-virus software that I can download off the internet?",4,Computers & Internet,problems someone help please think virus kind free antivirus software download internet
What do people look for in a career besides earning potential? Is money usually the main motivation? ,3,Education & Reference,people look career besides earning potential money usually main motivation
can i change my processor from pentium 3 to 4? ,4,Computers & Internet,change processor pentium
Question For Grandparents..Im a first time mother and Inlaws want to feed my three mo. old solids..? I'm not sure what to do about my inlaws.  They raised seven kids and have a lot of experience with babies under their belt.  They tell me all the kids were eating solids by a mo. old.  Im a bit worried though because as a first time mother..im listening to a lot of what the doctors are saying.  Although I say my baby shouldn't have anything but formula til about 4 mo.  They are feeding him baby food and eggs...etc.  And casually telling me but not asking me first.  I feel like if I disagree with them I will be just another disapointing inlaw they talk about all the time.  My Husband is very close to his family and is the baby..His niece was also raised by his parents and by the time she was getting her teeth in they were all rotting.  I feel like I don't have much control..Am I being a typical first timer and freaking out too much?  Please help.,8,Family & Relationships,question grandparentsim first time mother inlaws want feed three old solids sure inlaws raised seven kids lot experience babies belt tell kids eating solids old bit worried though first time motherim listening lot doctors saying although say baby shouldnt anything formula til feeding baby food eggsetc casually telling asking first feel like disagree another disapointing inlaw talk time husband close family babyhis niece also raised parents time getting teeth rotting feel like dont much controlam typical first timer freaking much please help
"What Is Wrong with Naming An Online Magazine Religion N' Gossip? I think the magazine will give religious folks the opportunity to hear what others think about their faith (maybe express their views). Sadly, I think people misunderstood the question. So again what do you think is wrong with the title Religion N' Gossip",0,Society & Culture,wrong naming online magazine religion gossip think magazine give religious folks opportunity hear others think faith maybe express views sadly think people misunderstood question think wrong title religion gossip
"My daughter has to complete community service in one week, but does not want to volunteer for a church.? I have researched all the majors charities such as salvation army, good will, ymca, libraries, food banks, homeless shelters, soup kitchens and the united way. Plus the local ones that are similar to those listed above. So other than churches of which we do not belong to one, what else is there?",6,Business & Finance,daughter complete community service one week want volunteer church researched majors charities salvation army good ymca libraries food banks homeless shelters soup kitchens united way plus local ones similar listed churches belong one else
What do you think about when you're alone? ,0,Society & Culture,think youre alone
"who are some cute/hot celebrities??? preferably young ones, and GUYS!  i 4got to say guys!  thanks dudes!",7,Entertainment & Music,cutehot celebrities preferably young ones guys got say guys thanks dudes
"Did the young Mother rightfully get kick of a commercial flight for nursing her baby? Gillette, said her troubles began when she and her husband and their almost 2-year-old daughter River were traveling from Vermont to New York. Their flight was delayed three hourst (booked through Delta Air Lines) \nThe family headed to their seats at the back of the little plane. Mother and daughter took the window seat in the second to last row; River’s dad took the aisle seat. As the plane was getting ready to move, Gillette tucked in next to the window and began to discreetly nurse River.That’s when Gillette noticed the lone flight attendant holding out a blanket, telling Gillette that she needed to cover up.,” she says. “I was being as discreet as possible.” When Gillette refused, Gillette says the flight attendant responded; “You are offending me. You need to cover up.” Gillette refused again.   Gillette says the flight attendant huffed off, and returned with a ticket agent, who told the family that they were being thrown off the plane.",0,Society & Culture,young mother rightfully get kick commercial flight nursing baby gillette said troubles began husband almost yearold daughter river traveling vermont new york flight delayed three hourst booked delta air lines nthe family headed seats back little plane mother daughter took window seat second last row rivers dad took aisle seat plane getting ready move gillette tucked next window began discreetly nurse riverthats gillette noticed lone flight attendant holding blanket telling gillette needed cover says discreet possible gillette refused gillette says flight attendant responded offending need cover gillette refused gillette says flight attendant huffed returned ticket agent told family thrown plane
where can i find cheap karate equipment? a full set maybe? ,5,Sports,find cheap karate equipment full set maybe
cant get creit because I just moved Heelllp? I just moved to another state I have exellent credt but I keep getting denied.,6,Business & Finance,cant get creit moved heelllp moved another state exellent credt keep getting denied
5 years together but no more spark...can we fix this??? My boyfriend of 5 years and I are always bitching at each other. it doesnt seem like either one is happy. all we do is sit around and smoke pot and watch TV.,8,Family & Relationships,years together sparkcan fix boyfriend years always bitching doesnt seem like either one happy sit around smoke pot watch
what is hyperlipidemia? ,2,Health,hyperlipidemia
"Do you believe ET's (space aliens) inhabit the bodies of  dogs and cats so as to keep an eye on certain people They want to monitor our technology, our government, etc. to determine if we need their help. It's  a way to go unnoticed At the right moment, they transform themselves into human form. Is your dog or cat missing? Are there too many humans on this planet? Seen anyone you don't know or have seen before? Put two and two together.",1,Science & Mathematics,believe ets space aliens inhabit bodies dogs cats keep eye certain people want monitor technology government etc determine need help way unnoticed right moment transform human form dog cat missing many humans planet seen anyone dont know seen put two two together
pretty or not? what makes a girl pretty?  and if a girl doesn't have what it takes how can she be pretty?,8,Family & Relationships,pretty makes girl pretty girl doesnt takes pretty
what's your favorite team in nba? ,5,Sports,whats favorite team nba
Why are humans only able to use a small percentage? of their brain potential?  Is this for a reason?  Will this change with evolution?,1,Science & Mathematics,humans able use small percentage brain potential reason change evolution
just curious what everyone thinks? what is a sign that someone is into you and likes you if they're a shy kind of guy?\njust wondering.....,8,Family & Relationships,curious everyone thinks sign someone likes theyre shy kind guynjust wondering
What is the quickest way to get rid of an allergy cold? ,2,Health,quickest way get rid allergy cold
Is Balmorhea referenced in a country music song? ,7,Entertainment & Music,balmorhea referenced country music song
Why do sponsors get so many world cup tickets? ,5,Sports,sponsors get many world cup tickets
please can someone help me ive got some abbreviations and i have got to find the answers to them? if 24H in a D = 24 hours in a day .\n26 L of the A = 26 letters of the alphabet.\nwhat is??? \n13 S in the USF =??\n5 T on a F =??\n32 T in a DF at which WF= ??\n76 T in a BP =,1,Science & Mathematics,please someone help ive got abbreviations got find answers hours day letters alphabetnwhat usf
"who manufactures bongo shoes, and do they have a website? ",4,Computers & Internet,manufactures bongo shoes website
if ur moving besides email and calling how do u stay in totch with ur friends? im moving 10 hours away,8,Family & Relationships,moving besides email calling stay totch friends moving hours away
"Is $800 a month fair for a 3 bedroom house in New Jersey, rented? I will have to pay energy bill, gas bill and water.",6,Business & Finance,month fair bedroom house new jersey rented pay energy bill gas bill water
"Aside from where you live, what city/country would you rather be in right now? ",0,Society & Culture,aside live citycountry would rather right
"How do I get in contact with Lisa Ling's Publicist? I PRODUCE AN ENTERTAINMENT NEWSMAGAZINE SHOW CALLED 'THE SCENE' IN WHICH I DO SEGMENTS OF FEATURED ARTISTS, ACTORS, PERFORMERS AND NIGHTLIFE OF SOUTHERN CALIFORNIA. I WOULD LIKE TO GET IN CONTACT WITH LISA LING'S PUBLICIST FOR A POSSIBLE STORY SEGMENT. ANY HELP IS GREATLY APPRECIATED.\nTHANKS.",7,Entertainment & Music,get contact lisa lings publicist produce entertainment newsmagazine show called scene segments featured artists actors performers nightlife southern california would like get contact lisa lings publicist possible story segment help greatly appreciatednthanks
"How to survive Starbucks? I have a small coffee &#92; espresso business.  Starbucks is flooding the town I serve with its businesses, 17 of them to date with more coming.  My product is good, but my resources are now limited and deminishing.  How can I survive them?",6,Business & Finance,survive starbucks small coffee espresso business starbucks flooding town serve businesses date coming product good resources limited deminishing survive
I need comments on seat belts from books journal article & encyclepedia to persuade the class? where can i go look up on seat belt safety so I can persuade my class? I have to include bibliography?,3,Education & Reference,need comments seat belts books journal article encyclepedia persuade class look seat belt safety persuade class include bibliography
"Native Americans have a seperate nation but they can still vote and are citizens of US, right? I was just wondering.",9,Politics & Government,native americans seperate nation still vote citizens right wondering
"Do you know?? While looking at a photograph a man says: ""Brothers and Sisters have I none. That man's father is my father's son.""\n\nWho is in the photograph?",6,Business & Finance,know looking photograph man says brothers sisters none mans father fathers sonnnwho photograph
what does a business executive do? ,6,Business & Finance,business executive
how can i create special more  desktop  with special more password  in the same computer ? ,4,Computers & Internet,create special desktop special password computer
